stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,stop_street,stop_city,stop_region,stop_postcode,stop_country,location_type,parent_station,stop_timezone,wheelchair_boarding,direction,position,the_geom
41740,Brightside Rd and Whangaparaoa,,-36.62615,174.72575,,,41740,,,,,,1,,,,,,0101000020E61000004E62105839D76540F931E6AE255042C0
41743,Stanmore Bay Primary School,,-36.62402,174.72736,,,41743,,,,,,1,,,,,,0101000020E6100000658D7A8846D7654064062AE3DF4F42C0
41742,Brightside Rd and Jean,,-36.62647,174.73138,,,41742,,,,,,1,,,,,,0101000020E61000005A9E077767D765406AF6402B305042C0
41745,Brightside Rd and Kauri,,-36.62683,174.73749,,,41745,,,,,,1,,,,,,0101000020E610000011E4A08499D765406A1327F73B5042C0
41744,Brightside Rd and Langton,,-36.62729,174.73481,,,41744,,,,,,1,,,,,,0101000020E6100000C3D8429083D76540CE8DE9094B5042C0
41747,Stanmore Bay Rd and Brightside,,-36.62637,174.74624,,,41747,,,,,,1,,,,,,0101000020E6100000F25EB532E1D76540079964E42C5042C0
41746,Brightside Rd by Hibiscus Coast Centre,,-36.62689,174.74143,,,41746,,,,,,1,,,,,,0101000020E6100000BF4868CBB9D76540401878EE3D5042C0
7093,19 Victoria St West,,-36.84883,174.76488,,,7093,,,,,,0,11019,,,,,0101000020E6100000AA2B9FE579D865408DEE2076A66C42C0
7091,Wellesley St West near Albert St,,-36.85021,174.76233,,,7091,,,,,,0,11012,,,,,0101000020E61000004F58E20165D86540B75D68AED36C42C0
7099,Victoria St West opp Sky Tower,,-36.84817,174.7624,,,7099,,,,,,0,11015,,,,,0101000020E61000000E4FAF9465D8654063B9A5D5906C42C0
8105,165 Great North Rd,,-36.86286,174.74871,,,8105,,,,,,0,11106,,,,,0101000020E61000000586AC6EF5D7654066834C32726E42C0
8104,194 Great North Rd,,-36.86347,174.74818,,,8104,,,,,,0,11106,,,,,0101000020E6100000AEF02E17F1D76540DF89592F866E42C0
8107,243 Great North Rd,,-36.86466,174.74637,,,8107,,,,,,0,11107,,,,,0101000020E6100000E6965643E2D765406614CB2DAD6E42C0
8106,264 Great North Rd,,-36.86479,174.74647,,,8106,,,,,,0,11107,,,,,0101000020E61000003EAE0D15E3D7654034F44F70B16E42C0
8101,41 Great North Rd,,-36.86023,174.75198,,,8101,,,,,,0,11054,,,,,0101000020E6100000E0675C3810D86540E08442041C6E42C0
8100,Opp 19 Great North Rd,,-36.8601,174.75238,,,8100,,,,,,0,11054,,,,,0101000020E610000043C5387F13D8654012A5BDC1176E42C0
8103,87 Great North Rd,,-36.86144,174.75049,,,8103,,,,,,0,11105,,,,,0101000020E610000034BF9A0304D86540AEBB79AA436E42C0
8102,76 Great North Rd,,-36.86157,174.75055,,,8102,,,,,,0,11105,,,,,0101000020E610000069006F8104D865407C9BFEEC476E42C0
1353,125 The Strand,,-36.84982,174.78113,,,1353,,,,,,0,61143,,,,,0101000020E6100000957D5704FFD865404DBED9E6C66C42C0
1352,Great South Rd os Mt Richmond Domain,,-36.93431,174.83547,,,1352,,,,,,0,51780,,,,,0101000020E610000040D9942BBCDA6540B3295778977742C0
1350,16 Princes St,,-36.94075,174.84246,,,1350,,,,,,0,51765,,,,,0101000020E61000000586AC6EF5DA654023DBF97E6A7842C0
8109,285 Great North Rd,,-36.86515,174.74495,,,8109,,,,,,0,11108,,,,,0101000020E6100000F7E461A1D6D765403411363CBD6E42C0
8108,332 Great North Rd,,-36.8656,174.74404,,,8108,,,,,,0,11108,,,,,0101000020E61000004F5DF92CCFD7654074B515FBCB6E42C0
1355,7 Avenue Rd,,-36.94322,174.84342,,,1355,,,,,,0,51783,,,,,0101000020E61000005B99F04BFDDA65407077D66EBB7842C0
1354,1012 Great South Rd Mt Wellington,,-36.92374,174.83062,,,1354,,,,,,0,51781,,,,,0101000020E6100000EAEC647094DA6540E700C11C3D7642C0
6958,226 Browns Rd,,-37.01862,174.86343,,,6958,,,,,,0,51663,,,,,0101000020E6100000548CF337A1DB65409886E123628242C0
6959,566 Massey Rd,,-36.97666,174.81219,,,6959,,,,,,0,51484,,,,,0101000020E61000006C04E275FDD96540DBA7E331037D42C0
6488,130 Coronation Rd,,-36.97279,174.84928,,,6488,,,,,,0,51370,,,,,0101000020E6100000B324404D2DDB65401CF0F961847C42C0
6482,24 Coronation Rd,,-36.97805,174.85087,,,6482,,,,,,0,51310,,,,,0101000020E6100000B8E4B8533ADB654029ED0DBE307D42C0
6951,Opp 58 Robertson Rd,,-36.95798,174.80445,,,6951,,,,,,0,31841,,,,,0101000020E61000008D28ED0DBED965406D1CB1169F7A42C0
6480,Opp 27 Shirley Rd,,-36.97903,174.85057,,,6480,,,,,,0,51309,,,,,0101000020E6100000AE9E93DE37DB6540C5E6E3DA507D42C0
6953,82 Bader Dr,,-36.9656,174.79564,,,6953,,,,,,0,51452,,,,,0101000020E6100000766C04E275D965404182E2C7987B42C0
6486,110 Coronation Rd,,-36.97385,174.85089,,,6486,,,,,,0,51371,,,,,0101000020E6100000CA4FAA7D3ADB6540D49AE61DA77C42C0
6955,Bader Dr outside Mangere Town Centre,,-36.96897,174.79967,,,6955,,,,,,0,51477,,,,,0101000020E6100000F4328AE596D965400E677E35077C42C0
6484,76 Coronation Rd,,-36.97612,174.85141,,,6484,,,,,,0,51374,,,,,0101000020E6100000982F2FC03EDB65405B7C0A80F17C42C0
6957,Bader Dr opp Teo Lane,,-36.96836,174.80595,,,6957,,,,,,0,51476,,,,,0101000020E6100000C286A757CAD9654095607138F37B42C0
8214,580 New North Rd,,-36.87372,174.7374,,,8214,,,,,,0,11232,,,,,0101000020E61000004182E2C798D7654039EE940ED66F42C0
8365,21 Taylor St,,-36.91032,174.69453,,,8365,,,,,,0,11210,,,,,0101000020E6100000E882FA9639D665408672A25D857442C0
8364,6 Taylor St,,-36.91029,174.69458,,,8364,,,,,,0,11210,,,,,0101000020E6100000950ED6FF39D665401CF0F961847442C0
8367,61 Taylor St,,-36.91297,174.69613,,,8367,,,,,,0,11211,,,,,0101000020E610000077F86BB246D66540541D7233DC7442C0
8366,100 May Rd,,-36.91092,174.73348,,,8366,,,,,,0,11404,,,,,0101000020E6100000A4880CAB78D76540DBA2CC06997442C0
8369,83 Taylor St,,-36.914,174.69677,,,8369,,,,,,0,11212,,,,,0101000020E6100000AF5A99F04BD66540A245B6F3FD7442C0
8368,64 Taylor St,,-36.91408,174.69691,,,8368,,,,,,0,11212,,,,,0101000020E61000002C4833164DD66540BEF6CC92007542C0
3184,Oteha Valley Rd near Fields Pde,,-36.71317,174.72097,,,3184,,,,,,0,41569,,,,,0101000020E6100000B56CAD2F12D76540813E9127495B42C0
3185,942 East Coast Rd,,-36.70989,174.72784,,,3185,,,,,,0,41573,,,,,0101000020E61000000F971C774AD76540F4E0EEACDD5A42C0
3186,Opp 127 Oteha Valley Rd,,-36.71578,174.71693,,,3186,,,,,,0,41570,,,,,0101000020E6100000AEF02E17F1D66540C190D5AD9E5B42C0
3187,Hugh Green Dr and Carrowmore,,-36.7276,174.71792,,,3187,,,,,,0,41820,,,,,0101000020E61000009E245D33F9D66540E9482EFF215D42C0
3180,Hugh Green Dr and Killybegs Dr,,-36.73273,174.72652,,,3180,,,,,,0,41822,,,,,0101000020E61000007AFCDEA63FD765402766BD18CA5D42C0
3181,44 Hugh Green Dr,,-36.72979,174.72166,,,3181,,,,,,0,41821,,,,,0101000020E61000009B5AB6D617D7654053793BC2695D42C0
3182,Opp 44 Hugh Green Dr,,-36.72983,174.72116,,,3182,,,,,,0,41821,,,,,0101000020E6100000DEE522BE13D76540E1D1C6116B5D42C0
7615,253 Great South Rd,,-36.89298,174.79736,,,7615,,,,,,0,11599,,,,,0101000020E61000006F641EF983D96540B5FD2B2B4D7242C0
3188,2 Calliope Rd,,-36.82847,174.7963,,,3188,,,,,,0,41011,,,,,0101000020E6100000C139234A7BD96540CBDB114E0B6A42C0
3189,305 East Coast Rd,,-36.74657,174.74056,,,3189,,,,,,0,41401,,,,,0101000020E61000003997E2AAB2D765405D16139B8F5F42C0
8838,496 Mt Albert Rd,,-36.90863,174.75163,,,8838,,,,,,0,11452,,,,,0101000020E610000029965B5A0DD865400E15E3FC4D7442C0
11397,Waikowhai,,-36.92992,174.73548,,,11397,,,,,,1,,,,,,0101000020E6100000965B5A0D89D76540BBF2599E077742C0
11396,Dominion Rd and Glenveagh,,-36.92793,174.73623,,,11396,,,,,,1,,,,,,0101000020E6100000B18A37328FD76540187D0569C67642C0
11395,Dominion Rd and Glass,,-36.9259,174.73586,,,11395,,,,,,1,,,,,,0101000020E6100000E84D452A8CD76540E6AE25E4837642C0
11394,Dominion Rd and Budgen,,-36.92343,174.73451,,,11394,,,,,,1,,,,,,0101000020E6100000B8921D1B81D76540991249F4327642C0
11393,Dominion Rd and Richardson,,-36.91984,174.73676,,,11393,,,,,,1,,,,,,0101000020E61000000820B58993D76540BDC62E51BD7542C0
11392,Dominion Rd and Howell,,-36.91869,174.73724,,,11392,,,,,,1,,,,,,0101000020E6100000B329577897D76540C49448A2977542C0
11391,1175 to 1424 Dominion Rd,,-36.9162,174.73805,,,11391,,,,,,1,,,,,,0101000020E6100000029A081B9ED76540304CA60A467542C0
11390,Dominion Rd and Youth,,-36.91426,174.73867,,,11390,,,,,,1,,,,,,0101000020E61000002A91442FA3D765403E05C078067542C0
4013,Opp 185 Mokoia Rd,,-36.81088,174.71127,,,4013,,,,,,0,41196,,,,,0101000020E610000008944DB9C2D66540807D74EACA6742C0
4012,418 Glenfield Rd,,-36.7833,174.72117,,,4012,,,,,,0,41286,,,,,0101000020E6100000679B1BD313D76540787AA52C436442C0
4010,Glenfield Mall,,-36.78141,174.72136,,,4010,,,,,,0,41305,,,,,0101000020E61000009014916115D7654039622D3E056442C0
4017,123 Mokoia Rd,,-36.81115,174.71858,,,4017,,,,,,0,41193,,,,,0101000020E6100000E9F17B9BFED66540401361C3D36742C0
4016,320 Glenfield Rd,,-36.7894,174.72057,,,4016,,,,,,0,49592,,,,,0101000020E6100000520FD1E80ED7654030BB270F0B6542C0
11399,Balmoral Rd and Goring,,-36.88604,174.74253,,,11399,,,,,,1,,,,,,0101000020E6100000904946CEC2D7654053793BC2697142C0
11398,Balmoral Rd and Sandringham,,-36.88548,174.73985,,,11398,,,,,,1,,,,,,0101000020E6100000423EE8D9ACD765408CA19C68577142C0
51090,Riverton Dr/Randwick Pl,,-37.0237,174.91708,,,51090,,,,,,1,,,,,,0101000020E61000001AFA27B858DD65402575029A088342C0
51092,Hyperion Dr/Goldnib Pl,,-37.0269,174.91638,,,51092,,,,,,1,,,,,,0101000020E6100000AC5626FC52DD654096218E75718342C0
51093,Hyperion Dr/Porchester Rd,,-37.025,174.92249,,,51093,,,,,,1,,,,,,0101000020E6100000639CBF0985DD654033333333338342C0
51094,Alfriston Rd/Ricardo Ct,,-37.01652,174.91838,,,51094,,,,,,1,,,,,,0101000020E61000009E29745E63DD65406EDDCD531D8242C0
51095,Porchester Rd/Riverton Dr,,-37.01931,174.92112,,,51095,,,,,,1,,,,,,0101000020E61000002176A6D079DD65402D3E05C0788242C0
51096,Alfriston Rd/Saralee Dr,,-37.0179,174.91454,,,51096,,,,,,1,,,,,,0101000020E610000048DC63E943DD6540984C158C4A8242C0
