route_id,route_short_name,route_long_name,route_type,agency_id,route_desc,route_url,route_color,route_text_color,id
00654-20170807091914_v56.25,006,Onehunga High To Onehunga,3,NZBML,,,,,67
98105-20170724124507_v56.18,981,Waiwera To HC Station,3,NZBNS,,,,,68
71501-20170724124507_v56.18,715,Glen Innes Centre To Britomart Via Orakei,3,NZBML,,,,,69
08252-20170724124507_v56.18,082,Macleans College To Dannemora,3,HE,,,,,70
13303-20170724124507_v56.18,133X,Henderson to City Centre via Te Atatu Rd Express,3,PC,,,,,71
63502-20170807091914_v56.25,635,Britomart To Glen Innes Via Parnell And Grand Dr,3,NZBML,,,,,72
30002-20170807091914_v56.25,SKY,Downtown To Airport Via Mt Eden Rd,3,ABEXP,,,,,73
15201-20170807091914_v56.25,152,Henderson to New Lynn via Sunnyvale and Glen Eden,3,PC,,,,,74
77003-20170807091914_v56.25,770,St Heliers To Newmarket To Auckland Grammar,3,NZBML,,,,,75
01654-20170724124507_v56.18,016,Epsom Schools to St Heliers Via St Johns Rd,3,NZBML,,,,,76
50502-20170807091914_v56.25,505,Britomart to Sylvia Park via Ruawai Rd and Ellerslie,3,NZBML,,,,,77
04151-20170724124507_v56.18,041,Mangere To Otahuhu Schools,3,GBT,,,,,78
22004-20170807091914_v56.25,220,City Centre to Avondale via New North Rd,3,NZBGW,,,,,79
95703-20170807091914_v56.25,957,Beach Haven To Albany Station Via Massey University,3,BTL,,,,,80
01359-20170807091914_v56.25,013,Glendene to Rutherford College,3,PC,,,,,81
98107-20170724124507_v56.18,981,Orewa To HC Station,3,NZBNS,,,,,82
24806-20170807091914_v56.25,248,City Centre to Blockhouse Bay via Sandringham Rd,3,NZBML,,,,,83
00164-20170807091914_v56.25,001,Birkenhead College To Beach Haven,3,BTL,,,,,84
81301-20170807091914_v56.25,813,Devonport To Takapuna Via Narrow Neck (N),3,NZBNS,,,,,85
02760-20170807091914_v56.25,027,Carmel College To Beach Haven via Lake Rd 1,3,BTL,,,,,86
74502-20170724124507_v56.18,745,Britomart To Glen Innes Centre Via Mission Bay,3,NZBML,,,,,87
20903-20170807091914_v56.25,209,Titirangi to City Centre via Green Bay and New North Rd,3,RTH,,,,,88
95704-20170807091914_v56.25,957,Albany Station To Highbury Shops,3,BTL,,,,,89
55403-20170724124507_v56.18,554X,Bucklands Beach To Britomart Express Via Half Moon Bay,3,HE,,,,,90
12003-20170724124507_v56.18,120,Henderson to Constellation Station via Westgate,3,RTH,,,,,91
55302-20170724124507_v56.18,553X,Britomart To Eastern Beach Express Via Tamaki Campus,3,HE,,,,,92
00202-20170724124507_v56.18,2,Matiatia Wharf To Rocky Bay,3,WBC,,,,,93
06251-20170724124507_v56.18,062,Favona To Onehunga Schools Via Mangere Bridge,3,GBT,,,,,94
85801-20170724124507_v56.18,858,Long Bay To City Centre,3,NZBNS,,,,,95
00665-20170724124507_v56.18,006,Titirangi to Remuera Schools,3,RTH,,,,,96
39004-20170724124507_v56.18,390,Newmarket To Te-Papapa,3,NZBML,,,,,97
12007-20170807091914_v56.25,120,Hobsonville to Constellation Station,3,RTH,,,,,98
03356-20170724124507_v56.18,033,Rosmini College To Verrans Corner,3,BTL,,,,,99
02861-20170807091914_v56.25,028,Whenuapai to North Shore Schools,3,RTH,,,,,100
30251-20170724124507_v56.18,302,Dannemora To Macleans College,3,HE,,,,,101
55403-20170807091914_v56.25,554X,Bucklands Beach To Britomart Express Via Half Moon Bay,3,HE,,,,,102
02053-20170724124507_v56.18,020,Remuera To Sacred Heart College,3,HE,,,,,103
06055-20170724124507_v56.18,060,Meadowood To Albany Schools,3,RTH,,,,,104
36502-20170724124507_v56.18,365,Manukau Station To Papakura Interchange Station Via Porchest,3,RTH,,,,,105
03552-20170724124507_v56.18,035,St Marys Primary To Beach Haven,3,BTL,,,,,106
00905-20170724124507_v56.18,009,Sylvia Park To New Lynn Via Blockhouse Bay Shops,3,PC,,,,,107
86304-20170807091914_v56.25,863X,Mayoral Dr To Mairangi Bay Express,3,NZBNS,,,,,108
76702-20170807091914_v56.25,767,Britomart To Glendowie,3,NZBML,,,,,109
00962-20170807091914_v56.25,009,Kingsway School To Torbay,3,BAYES,,,,,110
24807-20170807091914_v56.25,248,Blockhouse Bay to City Centre via Sandringham Rd,3,NZBML,,,,,111
05356-20170724124507_v56.18,053,Westlake Boys To Campbells Bay,3,NZBNS,,,,,112
17108-20170724124507_v56.18,171X,City Centre to Laingholm Express,3,RTH,,,,,113
00862-20170807091914_v56.25,008,KingsWay School To East Coast Rd,3,BAYES,,,,,114
00558-20170807091914_v56.25,005,Green Bay High School to Glen Eden,3,RTH,,,,,115
70301-20170807091914_v56.25,703,Portland Rd To Britomart,3,NZBML,,,,,116
13403-20170807091914_v56.25,134,Henderson to City Centre via Edmonton Rd,3,PC,,,,,117
07251-20170724124507_v56.18,072,Highland Park To Howick Schools,3,HE,,,,,118
06952-20170807091914_v56.25,069,St Johns School To Albany,3,NZBNS,,,,,119
30007-20170807091914_v56.25,SKY,International Airport To Downtown Via Dominion Rd,3,ABEXP,,,,,120
87404-20170807091914_v56.25,874X,Mayoral Dr To Constellation Station Express,3,NZBNS,,,,,121
00714-20170807091914_v56.25,007,Pt Chevalier To Glen Innes,3,NZBML,,,,,122
80309-20170807091914_v56.25,803,Takapuna Loop,3,RTH,,,,,123
10200-20170724124507_v56.18,WEST,Kingsland Train Station to Swanson Train Station,2,AM,,,,,124
05456-20170807091914_v56.25,054,St Johns School To Milford,3,NZBNS,,,,,125
02953-20170724124507_v56.18,029,Puhinui To Papatoetoe Schools,3,GBT,,,,,126
80302-20170724124507_v56.18,803,Takapuna To Bayswater Via Francis St,3,RTH,,,,,127
16101-20170807091914_v56.25,161,Brains Park to New Lynn,3,RTH,,,,,128
31952-20170807091914_v56.25,319,Aviemore Dr To Burswood,3,HE,,,,,129
00256-20170807091914_v56.25,002,Orewa Schools To Hatfields Beach,3,BAYES,,,,,130
02558-20170807091914_v56.25,025,Birkdale Intermediate To Highbury,3,BTL,,,,,131
01856-20170807091914_v56.25,018,Whangaparaoa College To Orewa,3,BAYES,,,,,132
00707-20170724124507_v56.18,007,St Heliers To Pt Chevalier Via Hospital And Selwyn Village,3,NZBML,,,,,133
95201-20170807091914_v56.25,952,Glenfield Shops To City Centre Via Coronation Rd,3,NZBNS,,,,,134
81501-20170807091914_v56.25,815,Devonport To Westwell Rd Via Ngataringa Rd,3,RTH,,,,,135
11008-20170724124507_v56.18,N11,City To Papakura Via Great South Rd,3,RTH,,,,,136
03454-20170807091914_v56.25,034,Westlake Boys To Takapuna Via Milford And Crown Hill,3,RTH,,,,,137
88002-20170807091914_v56.25,880,Albany Loop Clockwise,3,RTH,,,,,138
11006-20170807091914_v56.25,110,City Centre to Westgate via Northwestern Motorway,3,NZBGW,,,,,139
00353-20170724124507_v56.18,003,Flat Bush to Alfriston Sch and Takanini to Alfriston Col,3,RTH,,,,,140
03301-20170724124507_v56.18,33,Papakura Interchange To Otahuhu Station Via Great South Rd,3,RTH,,,,,141
26705-20170807091914_v56.25,267F,Mt Roskill To City Centre Via Flyover,3,NZBML,,,,,142
55201-20170724124507_v56.18,552,Bucklands Beach To Britomart Via Newmarket,3,HE,,,,,143
15201-20170724124507_v56.18,152,Henderson to New Lynn via Sunnyvale and Glen Eden,3,PC,,,,,144
00253-20170724124507_v56.18,002,Mangere Bridge Shops To Seventh Day Adventist Primary,3,GBT,,,,,145
00551-20170724124507_v56.18,005,Arkles Bay/Manly To Orewa College,3,BAYES,,,,,146
00201-20170807091914_v56.25,2,Rocky Bay To Matiatia Wharf,3,WBC,,,,,147
00201-20170724124507_v56.18,2,Rocky Bay To Matiatia Wharf,3,WBC,,,,,148
00708-20170724124507_v56.18,007,Pt Chevalier To St Heliers Via Selwyn Village And Hospital,3,NZBML,,,,,149
31852-20170807091914_v56.25,318,Somerville Intermediate To Kilkenny Dr,3,HE,,,,,150
31753-20170807091914_v56.25,317,Baverstock Rd To Howick Schools,3,HE,,,,,151
53206-20170724124507_v56.18,532,Britomart to Otahuhu via Carbine Road,3,NZBML,,,,,152
39902-20170807091914_v56.25,399,Pukekohe to Port Waikato via Tuakau,3,RTH,,,,,153
76004-20170807091914_v56.25,76X,Mayoral Dr To Long Bay Express,3,NZBNS,,,,,154
55202-20170724124507_v56.18,552,Britomart To Bucklands Beach Via Newmarket,3,HE,,,,,155
59501-20170807091914_v56.25,595,Glen Innes Centre To Britomart Via Panmure And Ellerslie,3,NZBML,,,,,156
00657-20170807091914_v56.25,006,Beach Haven To Westlake Schools,3,BTL,,,,,157
02060-20170724124507_v56.18,020,Whangaparaoa College To Gulf Harbour,3,BAYES,,,,,158
00152-20170724124507_v56.18,001,Epsom Schools To Kohimarama,3,NZBML,,,,,159
01651-20170724124507_v56.18,016,Howick To Sacred Heart College,3,HE,,,,,160
95802-20170807091914_v56.25,958,Britomart To Constellation Station Via Onewa Rd,3,BTL,,,,,161
08552-20170807091914_v56.25,085,Farm Cove Int And St Marks To Pakuranga Plaza,3,HE,,,,,162
00453-20170807091914_v56.25,004,Weymouth And Wattle Downs To Manurewa High,3,RTH,,,,,163
02264-20170724124507_v56.18,022,Rangeview Intermediate to Henderson via Glendene,3,PC,,,,,164
10252-20170724124507_v56.18,WEST,Britomart Train Station to Henderson Train Station,2,AM,,,,,165
95702-20170807091914_v56.25,957,Albany Station To Birkenhead Wharf Via Highbury,3,BTL,,,,,166
58006-20170807091914_v56.25,580,Howick To Manukau City Centre Via Sancta Maria Schools,3,HE,,,,,167
98022-20170807091914_v56.25,MTIA,Auckland 2 to Waiheke Island 2,4,FGL,,,,,168
00858-20170724124507_v56.18,008,Westlake Schools To Bayview,3,BTL,,,,,169
94502-20170807091914_v56.25,945,Glenfield To Takapuna Via Marlborough,3,RTH,,,,,170
32202-20170724124507_v56.18,322,Britomart to Otahuhu Station via Great South Road,3,NZBML,,,,,171
03006-20170724124507_v56.18,030,City Centre To Pt Chevalier Via Williamson Ave,3,NZBML,,,,,172
26709-20170724124507_v56.18,267X,Lynfield To City Centre Express,3,NZBML,,,,,173
76902-20170807091914_v56.25,769,Britomart To Glendowie North Via Tamaki Dr,3,NZBML,,,,,174
01354-20170807091914_v56.25,013,Edgewater College To Otara,3,GBT,,,,,175
55204-20170807091914_v56.25,552,Britomart To Bucklands Beach Via Newmarket And Half Moon Bay,3,HE,,,,,176
04252-20170724124507_v56.18,042,Campbells Bay Primary To Milford,3,NZBNS,,,,,177
00802-20170807091914_v56.25,008,New Lynn To Otahuhu,3,PC,,,,,178
25800-20170724124507_v56.18,258X,City Centre To Blockhouse Bay Via Dominion Rd Express,3,NZBML,,,,,179
00755-20170807091914_v56.25,007,Brightside Rd To Orewa College,3,BAYES,,,,,180
00557-20170807091914_v56.25,005,Glen Eden to Green Bay High School,3,RTH,,,,,181
03202-20170724124507_v56.18,32,Sylvia Park To Mangere Town Centre Via Otahuhu,3,GBT,,,,,182
01252-20170724124507_v56.18,012,Baradene College To Dannemora,3,HE,,,,,183
32452-20170807091914_v56.25,324,Farm Cove Intermediate To Botany Downs,3,HE,,,,,184
35801-20170807091914_v56.25,358,Pakuranga Plaza To Onehunga Via Penrose,3,HE,,,,,185
32501-20170724124507_v56.18,325,Mangere Town Centre To Manukau Station Via Otahuhu And Otara,3,GBT,,,,,186
51502-20170807091914_v56.25,515,Britomart to Otahuhu Station via Ruawai Rd and Panama Rd,3,NZBML,,,,,187
00451-20170724124507_v56.18,004,Army Bay To Orewa College,3,BAYES,,,,,188
